Variable,R²,MAE,RMSE,MAPE (%),Top Predictor,Importancia
Ucla Total,-0.720248505843099,6.1241740019240005,7.506580938369931,12.425062828854665,promedio_alegria,0.14556964115357635
Dass Depresion,-0.442034012062817,9.17814666506333,10.311103400403693,74.29829746418949,promedio_riqueza_lexica,0.29120762957745416
Dass Ansiedad,-0.27082388895851484,8.1212504995005,9.454167345149028,110.32227323333142,promedio_negativas,0.18685566043623264
Dass Estres,0.09618857878428222,7.131284151034151,8.953226365162916,92.79105489361854,total_emojis,0.1964899585502052
